ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2014,2463.9,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2014,1060.5,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2015,2705.9,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2015,1149.4,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2016,2611.1,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2016,1180.3,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2017,3087.2,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2017,1199.9,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2018,3613,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2018,1231,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Australia,Mean nominal hourly labour cost per employee by economic activity (local currency),AUS - ES - Major Labour Costs Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,134581,,Nonstandard economic activity: Excluding quarrying,Currency: AUS - Australian dollar (AUD) | Time unit: Per year | Working time arrangement coverage: Full-time equivalents,Data reference period: Noncalendar year
Australia,Mean nominal hourly labour cost per employee by economic activity (local currency),AUS - ES - Major Labour Costs Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,58353,,,Currency: AUS - Australian dollar (AUD) | Time unit: Per year | Working time arrangement coverage: Full-time equivalents,Data reference period: Noncalendar year
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2009,32.92,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2009,30.82,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2010,33.86,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2010,30.38,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,35.99,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,31.21,,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2012,37.7,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2012,32.4,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2016,39.3,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2016,35.6,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2017,38.8,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2017,36,,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2018,40.3,Provisional,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2018,37.3,Provisional,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,40.6,Provisional,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity (local currency),AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2019,38.5,Provisional,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2009,8.16,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2009,2.03,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2010,9.17,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2010,2.98,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,10.95,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,3.06,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2012,12.23,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2012,3.22,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2013,13.39,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2013,3.57,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2014,15.06,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2014,3.95,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2015,18.72,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2015,4.28,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2016,23.29,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2016,4.46,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2017,24.46,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2017,4.49,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2018,24.17,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year | System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity (local currency),AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2018,4.55,,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year | System of national accounts: 2008 SNA
Burundi,Mean nominal hourly labour cost per employee by economic activity (local currency),BDI - SNA - Comptes nationaux,Economic activity (ISIC-Rev.4): C. Manufacturing,2009,6530,,,Currency: BDI - Burundian franc (BIF) | Labour cost concept: Compensation of employees | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2009,,Confidential,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2009,38.19862619,,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2010,,Confidential,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2010,40.07988795,,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,,Confidential,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,40.75,,,Currency: BEL - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2012,46,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2012,42,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2016,40.7,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2016,41.4,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2017,41.4,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2017,41.9,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2018,42.1,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2018,42.6,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,43,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity (local currency),BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2019,43.5,,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mean nominal hourly labour cost per employee by economic activity (local currency),"BGR - ES - Annual Enterprises Survey on Number of employees, Wages and salaries and Other labour costs",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2008,8.43,,,Currency: BGR - Lev (BGN) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Bulgaria,Mean nominal hourly labour cost per employee by economic activity (local currency),"BGR - ES - Annual Enterprises Survey on Number of employees, Wages and salaries and Other labour costs",Economic activity (ISIC-Rev.4): C. Manufacturing,2008,4.15,,,Currency: BGR - Lev (BGN) | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
