ref_area.label,indicator.label,source.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2017,40.67,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2018,47.59,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2018,44.05,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2019,45.45,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2019,43.1,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2009,10.15,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2009,2.53,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2010,11.42,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2010,3.71,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2011,13.87,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,3.87,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2012,15.57,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2012,4.1,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2013,17.07,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2013,4.55,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2014,19.2,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2014,5.04,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2015,18.27,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2015,4.18,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2016,14.6,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2016,2.79,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2017,14.21,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2017,2.61,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2018,14.22,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year | System of national accounts: 2008 SNA
Azerbaijan,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AZE - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2018,2.68,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year | System of national accounts: 2008 SNA
Burundi,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BDI - SNA - Comptes nationaux,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2009,5.31,,Currency: BDI - Burundian franc (BIF) | Labour cost concept: Compensation of employees | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,System of national accounts: 1993 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2009,53.28,,Currency: BEL - Euro (EUR) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2010,53.13,,Currency: BEL - Euro (EUR) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,56.72,,Currency: BEL - Euro (EUR) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2012,59.1,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2012,53.96,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2016,45.05,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2016,45.83,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2017,46.77,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2017,47.33,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2018,49.72,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,BEL - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2018,50.31,,Currency: BEL - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
